3931963, 425322, 8058120

-1579264, -9044990, -1297625

5212072, -3945070, -9655170

-8472983, -7105770, 2809630

-1225997, -335990, 3157710

5779965, 6737994, 3808395

-1163693, 2707742, 8039994

7636503, 8410160, 284024

7693408, 5815877, 9300548

8832292, 2638074, 3033158

9901945, -3830416, -8710476

611664, -1807755, -2426111

-3369262, 4802972, 9523601

-4513479, 5905021, 342738

-9775479, -5857378, 1634003

4195366, 8828954, -8430285

-7439903, 253755, -7789653

-9120998, 2429078, 1807594

6050698, -584285, 7598841

9856415, 6955906, -2287254

-5413462, 6064614, 7504892

-889246, -5942091, 8514264

-541901, 2532544, -9410389

-6030938, 8107783, 3224233

103039, 2669762, 1259493

6322862, 2856735, 9420124

-5030713, -7822317, -863538

264093, 8418300, -2341752

-1803163, -5813568, -495572

1770350, 5647108, 6078587

-9184008, 2753764, 9403143

6872631, -3779261, -1587456

-6621430, -9220724, 9200841

-7273155, -7604834, -8918119

4206360, -341900, -693618

-6331475, 8858679, -4833888

8980978, -5791520, 3652092

-7054278, 1306686, 7037356

-8253188, -8261262, 4835540

-6035956, -598782, 5117942

-9696263, -2966923, -1449845

-2189092, 2609445, 5455007

-8132855, -3446275, -8722654

-4931573, -6809289, -3127205

-9624264, 7052153, -2708675

4659987, -2949620, 6702123

-6838576, 9756929, -4692811

5091077, 8902999, 3988434

-187077, -2280742, -1465294

-6959512, -4171792, 1383538

5339727, 8428754, 3209852

4870550, -2406184, -546035

-5429621, -2440295, -974913

7974290, 4860659, 3259470

2815913, 8878517, -4917109

9439120, 5437554, -496867

-2680164, 5312025, 7944849

4062534, 3944382, -8835614

1112404, 5826678, 2228185

8321546, -99261, 1939773

-8079029, 9893978, 2591407

4310796, 4340473, 7392520

710236, -2246244, -7974506

-3207567, -9043076, 3454549

-576537, 5023601, 6763378

9750587, 6826670, 4546932

-7422695, -9895197, 1967899

3678970, 5667839, 7332419

-5853718, 8702797, -4639284

-2733441, -4928167, -3916685

-6333306, 9775244, -8822816

8523910, 4286127, 1262065

-7904422, -552090, 981941

4517999, -5586048, -9144365

3018833, 7564135, -5579151

-2756621, 7031940, 8706322

2940219, 1138529, 6524345

8302435, 7142755, -8090720

1239758, 1382308, -9789462

8418432, 2985997, 6289497

9689358, -5015045, -5898438

6454949, -6330248, 1227885

1130261, 2052344, 8295216

-1947961, -1086164, -6648619

-5195927, 1833397, 8381913

7336141, -2716602, 4632446

1736942, -857289, -442320

5254117, -6463548, 4982112

-3686577, -560440, 4702788

-306097, 4911068, 9674366

1665191, 8596223, 11768

7244703, -3797150, -6136965

-7447583, 4867350, -9038011

8634630, -4902240, -1748553

6582488, 1438820, 1568970

1842819, -1689410, -5174090

9538137, -1155509, 8873332

-4454893, 9013858, -6168524

-861913, 1868595, -4756478

-972484, -1121397, 9463789

7296467, 8451628, -3685810

3528340, 4448784, 8559009

-2360625, -4518019, 9433939

8171697, -168476, -9057066

-7218075, -2736661, 3878433

5670535, 7205435, -7785964

5945375, 667417, -3085895

8326667, 345807, 7994867

