354374, -46943603
81734303, 23406200

-10444665, -3301321
-87774277, 32417484

3113916, 37989487
-81581661, -41555311

37084292, -99291137
77596838, 46942195

-89639156, 16247657
-32940322, -10291560

91957159, 8178163
-71784751, 38436964

-81126105, -44746711
75538462, 55555376

59697316, -5352511
41080475, -42750919

-6180394, 97012372
-4912854, 68631203

49117399, 73440211
47242447, 12252734

-16570274, 29123598
-61003161, 55113513

98308278, 29014411
83113591, -37516475

-46570137, -23532477
-43299403, -35925616

-47997562, 32300847
-8862410, -69890715

-50278106, 31879036
-16174150, -59096171

71535790, -41911539
65923744, 14846874

53874475, 20685104
-96005932, -92695843

53829831, 84976390
76665825, -46560424

35963440, -87627938
63296924, 84561018

94378918, -16076029
-78545344, -23311495

-7514738, -18911709
-73751040, -64763918

85598847, -24883017
-14887241, -51215096

54195608, 40928466
-2245569, 36092529

63900137, 20643136
23373695, -1554860

-30373556, 32667817
-38243396, 51447347

27655891, 15331362
55505394, 3207750

-91905969, 9957433
62616904, -21492572

-52813232, 40951726
52794797, 87859595

-34446946, -42410638
15993346, 62861849

82547013, -15642087
34758595, 25484380

-53654642, 21887708
23640900, 19011774

72054764, 31455824
-37835188, -25076897

73281677, 21245404
97146933, 9891555

62825265, 17133206
94434946, -12666822

-98241650, 75542725
43633921, 5420990

73119328, -31303882
17586639, 55738783

89625731, -46852793
37612128, 71017102

-76118554, 12740381
51368863, -97313564

-43698370, 29225872
-73454028, -36425166

-59126490, -91627493
9393589, -73702440

-49829342, 81222975
11541537, 88769068

-81464067, 1757082
500347, -6006635

-21765862, 53533359
6814078, -81085532

-10709456, -98234692
-19051741, 15184139

-56262213, -69090808
-23254074, -44328571

81310315, -36082006
96686369, 28508044

-41790031, -32200654
20214999, 93035369

-31144424, -75374301
92838423, -11713396

51706525, -9835753
28735377, -39089189

44997318, -10310113
-90207225, -85926809

36962859, -62537275
61261613, 41386230

-82957472, 48095157
45457269, 16417540

-81799073, -93463385
56945749, 68768265

24720777, -51728118
-23311574, -99134580

-41751596, -89812440
35423825, 57340655

77858317, -94910761
-43067535, 12493103

-8351429, 93173648
31033090, 74532522

90766991, 84705395
74168080, 98975033

-41482129, 48317075
81860283, 2537485

-65592950, -42137077
10929654, 2855378

-9599746, -8922803
64696713, -42169287

29955011, -83827401
-32842138, -67062416

74775019, -81518105
14321240, 66345103

7903046, -4615971
-77747204, 19343423

-88271626, -48783281
-86499468, -39930938

-1304242, -40982498
-34616485, 25133293

56162099, -59968130
14019021, -97751222

52987821, 65425278
680126, -74547376

57287035, 48007400
-17404554, -93774371

-93530360, 42034476
-12716370, -96796564

67702144, -59046462
-4770408, -88019651

49473089, 79668410
-15683957, -9980489

-41503637, -50122595
68333140, 53389624

47193328, 48318189
7020677, -27672043

-26432001, 16668715
31743392, -51884699

-68225009, -98586176
-39927116, -22981068

87790915, 27937750
-15794177, -64155939

-35560893, -78277221
-88352817, -41937128

-37954831, 33340947
-94604710, -97916134

-41892140, -55432953
-98018684, -80218575

13010345, 75976182
-7855606, -26031619

-66333652, 81365504
-74170760, 42934381

42836955, -35889618
-94917277, 34996580

-18051440, 46866643
13135224, 22760861

-71905538, 92845565
-89704041, 35186418

-30354930, -38383753
-10488954, -65607141

-10838767, 24512428
99191357, -31265302

-60050498, 84747446
-80321437, -23941527

78211059, 90178643
-88850020, 83611228

24010502, -71649163
77768691, -17561587

29474143, 12466866
13525551, 84182213

23476764, -62287563
-72980773, -58311817

-17665828, 29492473
-46888839, 92727948

64443788, 1513734
-54936996, 55433881

-43118341, -86612568
-15192790, -89726653

67594592, 91712193
-79859180, 28351552

-6735097, -96110463
-25132533, 6234094

-51809528, -84012135
47077097, 87804850

75460092, 13133370
93758500, -68849557

-79909903, -28913060
-58439602, -54059427

-2169504, -36739157
33845675, 19636354

-98837705, 56371124
10463720, -67407312

-68038999, -66688558
55524820, -19318497

56660828, 22691898
-73464049, -99502785

28119337, 46633603
49929705, 48910015

39465110, -17351451
-2177462, -74015756

-38609933, 78857291
55704675, -14130013

91871413, -64204104
22887737, 25394727

-91993923, -30583240
-83575791, 72260727

28682361, 13318941
45252097, 69070218

60806171, 52588864
-1485195, 48681545

-98282272, -12752561
24551724, -1171219

-91395197, 99057291
15454778, -48611256

65546417, 50604327
-82777214, 55824233

67428541, 6718626
10782046, -41384309

86733345, 38618948
-91241209, -7143193

-24929664, 58561798
93804081, -74460005

25272332, -83820282
38592148, 37198568

-60769101, 68533093
-42135056, 91980776

-23291162, 46345190
86226516, 84811776

-7286252, 6423832
65259556, -20431966

-14108566, 31451264
-44938219, 38986191

-97767951, 55004965
63627936, 12036576

-77472109, -48526244
67576850, 97683749

-47963276, -12474208
-49553933, 16458550

-11887893, 41992171
-63142731, -78892124

-51099777, -61011194
55822248, -25211724

68628628, -95347559
18387538, -8134487

